debtor,series,Series,counterpart_area,Counterpart-Area,year,value
LIC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.18156056664238
LKA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,137.991585959499
LKA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,45.4625321322802
LKA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,6.39101217422775
LKA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,2.10557472985274
LMC,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,137.298190304158
LMC,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,28.2847441146689
LMC,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,7.65855467013339
LMC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.57773571999051
LMY,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,23.4879333016427
LMY,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.81348986485348
LSO,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,19.7918271979909
LSO,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,10.3549587319043
LSO,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,0.573823046542287
LSO,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.300220586352135
MAR,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,297.277857008041
MAR,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,45.6871772702329
MAR,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,23.4686543109799
MAR,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.60678249160869
MDG,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,240.81973817512
MDG,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,24.2021075367591
MDG,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,10.8747775967672
MDG,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.09290267828424
MDV,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,39.5142236196319
MDV,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,69.6728682951345
MDV,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,0.821813650306748
MDV,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.44905072087809
MEX,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,240.023222477175
MEX,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,28.9135432044519
MEX,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,25.3345126009922
MEX,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.05183188981715
MIC,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,23.1532006218333
MIC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.84067558683897
MLI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,276.782290338713
MLI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,41.7755890848616
MLI,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,2.81402364283914
MLI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.424729108334468
MMR,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,336.575207955624
MMR,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,163.256388611906
MMR,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,9.7613293342041
MMR,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,4.73474973047845
MNA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,24.0381162615982
MNA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.55485236602105
MRT,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,310.027748182894
MRT,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,81.9086725856663
MRT,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,8.06777406206065
MRT,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,2.1314887716264
MUS,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,72.6310854282245
MUS,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,37.3916366537339
MUS,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,4.43912497112553
MUS,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,2.2853320586111
MWI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,263.740261060733
MWI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,46.0870141966879
MWI,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,16.8239288373053
MWI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,2.93987972883066
NER,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,134.498009428267
NER,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,34.9693717528673
NER,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,13.0019264409211
NER,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.38049017341402
NGA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,32.1995163449484
NGA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,3.27339043593288
NIC,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,442.254495447471
NIC,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,112.587750473951
NIC,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,13.940341848249
NIC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.54888813045124
NPL,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,75.2841599263579
NPL,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,10.4399385335201
NPL,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,1.86242842589752
NPL,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.258269977488894
PAK,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,299.235108431094
PAK,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,42.4913054239135
PAK,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,11.3658035998732
PAK,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.61394107356771
PER,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,197.299140026488
PER,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,55.0688765457942
PER,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,20.0406523001469
PER,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,5.5936189446432
